threshold,coverage,risk,avg_f1,avg_ndcg,n_covered
0.0,1.0,0.7718,0.2282,0.7723,150
0.05,1.0,0.7718,0.2282,0.7723,150
0.1,1.0,0.7718,0.2282,0.7723,150
0.15,1.0,0.7718,0.2282,0.7723,150
0.2,0.9533,0.7718,0.2282,0.7723,143
0.25,0.94,0.7718,0.2282,0.7723,141
0.3,0.9067,0.7718,0.2282,0.7723,136
0.35,0.8333,0.7718,0.2282,0.7723,125
0.4,0.7933,0.7671,0.2329,0.7731,119
0.45,0.7,0.7629,0.2371,0.7656,105
0.5,0.6,0.7725,0.2275,0.7385,90
0.55,0.54,0.7804,0.2196,0.74,81
0.6,0.4867,0.7862,0.2138,0.7147,73
0.65,0.4533,0.784,0.216,0.6937,68
0.7,0.3867,0.7832,0.2168,0.6514,58
0.75,0.3,0.789,0.211,0.5577,45
0.8,0.28,0.7864,0.2136,0.55,42
0.85,0.2533,0.7818,0.2182,0.5047,38
0.9,0.2133,0.7685,0.2315,0.4587,32
0.95,0.04,0.7555,0.2445,0.7718,6
1.0,0.0,1.0,0.0,0.0,0
